"x" "y" "dist.to.edge"
-2953.125 -1453.125 47
-2859.375 -1453.125 47
-2765.625 -1453.125 47
-2671.875 -1453.125 47
-2578.125 -1453.125 47
-2484.375 -1453.125 47
-2390.625 -1453.125 47
-2296.875 -1453.125 47
-2203.125 -1453.125 47
-2109.375 -1453.125 47
-2015.625 -1453.125 47
-1921.875 -1453.125 47
-1828.125 -1453.125 47
-1734.375 -1453.125 47
-1640.625 -1453.125 47
-1546.875 -1453.125 47
-1453.125 -1453.125 47
-1359.375 -1453.125 47
-1265.625 -1453.125 47
-1171.875 -1453.125 47
-1078.125 -1453.125 47
-984.375 -1453.125 47
-890.625 -1453.125 47
-796.875 -1453.125 47
-703.125 -1453.125 47
-609.375 -1453.125 47
-515.625 -1453.125 47
-421.875 -1453.125 47
-328.125 -1453.125 47
-234.375 -1453.125 47
-140.625 -1453.125 47
-46.875 -1453.125 47
46.875 -1453.125 47
140.625 -1453.125 47
234.375 -1453.125 47
328.125 -1453.125 47
421.875 -1453.125 47
515.625 -1453.125 47
609.375 -1453.125 47
703.125 -1453.125 47
796.875 -1453.125 47
890.625 -1453.125 47
984.375 -1453.125 47
1078.125 -1453.125 47
1171.875 -1453.125 47
1265.625 -1453.125 47
1359.375 -1453.125 47
1453.125 -1453.125 47
1546.875 -1453.125 47
1640.625 -1453.125 47
1734.375 -1453.125 47
1828.125 -1453.125 47
1921.875 -1453.125 47
2015.625 -1453.125 47
2109.375 -1453.125 47
2203.125 -1453.125 47
2296.875 -1453.125 47
2390.625 -1453.125 47
2484.375 -1453.125 47
2578.125 -1453.125 47
2671.875 -1453.125 47
2765.625 -1453.125 47
2859.375 -1453.125 47
2953.125 -1453.125 47
-2953.125 -1359.375 141
-2859.375 -1359.375 141
-2765.625 -1359.375 141
-2671.875 -1359.375 141
-2578.125 -1359.375 141
-2484.375 -1359.375 141
-2390.625 -1359.375 141
-2296.875 -1359.375 141
-2203.125 -1359.375 141
-2109.375 -1359.375 141
-2015.625 -1359.375 141
-1921.875 -1359.375 141
-1828.125 -1359.375 141
-1734.375 -1359.375 141
-1640.625 -1359.375 141
-1546.875 -1359.375 141
-1453.125 -1359.375 141
-1359.375 -1359.375 141
-1265.625 -1359.375 141
-1171.875 -1359.375 141
-1078.125 -1359.375 141
-984.375 -1359.375 141
-890.625 -1359.375 141
-796.875 -1359.375 141
-703.125 -1359.375 141
-609.375 -1359.375 141
-515.625 -1359.375 141
-421.875 -1359.375 141
-328.125 -1359.375 141
-234.375 -1359.375 141
-140.625 -1359.375 141
-46.875 -1359.375 141
46.875 -1359.375 141
140.625 -1359.375 141
234.375 -1359.375 141
328.125 -1359.375 141
421.875 -1359.375 141
515.625 -1359.375 141
609.375 -1359.375 141
703.125 -1359.375 141
796.875 -1359.375 141
890.625 -1359.375 141
984.375 -1359.375 141
1078.125 -1359.375 141
1171.875 -1359.375 141
1265.625 -1359.375 141
1359.375 -1359.375 141
1453.125 -1359.375 141
1546.875 -1359.375 141
1640.625 -1359.375 141
1734.375 -1359.375 141
1828.125 -1359.375 141
1921.875 -1359.375 141
2015.625 -1359.375 141
2109.375 -1359.375 141
2203.125 -1359.375 141
2296.875 -1359.375 141
2390.625 -1359.375 141
2484.375 -1359.375 141
2578.125 -1359.375 141
2671.875 -1359.375 141
2765.625 -1359.375 141
2859.375 -1359.375 141
2953.125 -1359.375 141
-2953.125 -1265.625 234
-2859.375 -1265.625 234
-2765.625 -1265.625 234
-2671.875 -1265.625 234
-2578.125 -1265.625 234
-2484.375 -1265.625 234
-2390.625 -1265.625 234
-2296.875 -1265.625 234
-2203.125 -1265.625 234
-2109.375 -1265.625 234
-2015.625 -1265.625 234
-1921.875 -1265.625 234
-1828.125 -1265.625 234
-1734.375 -1265.625 234
-1640.625 -1265.625 234
-1546.875 -1265.625 234
-1453.125 -1265.625 234
-1359.375 -1265.625 234
-1265.625 -1265.625 234
-1171.875 -1265.625 234
-1078.125 -1265.625 234
-984.375 -1265.625 234
-890.625 -1265.625 234
-796.875 -1265.625 234
-703.125 -1265.625 234
-609.375 -1265.625 234
-515.625 -1265.625 234
-421.875 -1265.625 234
-328.125 -1265.625 234
-234.375 -1265.625 234
-140.625 -1265.625 234
-46.875 -1265.625 234
46.875 -1265.625 234
140.625 -1265.625 234
234.375 -1265.625 234
328.125 -1265.625 234
421.875 -1265.625 234
515.625 -1265.625 234
609.375 -1265.625 234
703.125 -1265.625 234
796.875 -1265.625 234
890.625 -1265.625 234
984.375 -1265.625 234
1078.125 -1265.625 234
1171.875 -1265.625 234
1265.625 -1265.625 234
1359.375 -1265.625 234
1453.125 -1265.625 234
1546.875 -1265.625 234
1640.625 -1265.625 234
1734.375 -1265.625 234
1828.125 -1265.625 234
1921.875 -1265.625 234
2015.625 -1265.625 234
2109.375 -1265.625 234
2203.125 -1265.625 234
2296.875 -1265.625 234
2390.625 -1265.625 234
2484.375 -1265.625 234
2578.125 -1265.625 234
2671.875 -1265.625 234
2765.625 -1265.625 234
2859.375 -1265.625 234
2953.125 -1265.625 234
-2953.125 -1171.875 328
-2859.375 -1171.875 328
-2765.625 -1171.875 328
-2671.875 -1171.875 328
-2578.125 -1171.875 328
-2484.375 -1171.875 328
-2390.625 -1171.875 328
-2296.875 -1171.875 328
-2203.125 -1171.875 328
-2109.375 -1171.875 328
-2015.625 -1171.875 328
-1921.875 -1171.875 328
-1828.125 -1171.875 328
-1734.375 -1171.875 328
-1640.625 -1171.875 328
-1546.875 -1171.875 328
-1453.125 -1171.875 328
-1359.375 -1171.875 328
-1265.625 -1171.875 328
-1171.875 -1171.875 328
-1078.125 -1171.875 328
-984.375 -1171.875 328
-890.625 -1171.875 328
-796.875 -1171.875 328
-703.125 -1171.875 328
-609.375 -1171.875 328
-515.625 -1171.875 328
-421.875 -1171.875 328
-328.125 -1171.875 328
-234.375 -1171.875 328
-140.625 -1171.875 328
-46.875 -1171.875 328
46.875 -1171.875 328
140.625 -1171.875 328
234.375 -1171.875 328
328.125 -1171.875 328
421.875 -1171.875 328
515.625 -1171.875 328
609.375 -1171.875 328
703.125 -1171.875 328
796.875 -1171.875 328
890.625 -1171.875 328
984.375 -1171.875 328
1078.125 -1171.875 328
1171.875 -1171.875 328
1265.625 -1171.875 328
1359.375 -1171.875 328
1453.125 -1171.875 328
1546.875 -1171.875 328
1640.625 -1171.875 328
1734.375 -1171.875 328
1828.125 -1171.875 328
1921.875 -1171.875 328
2015.625 -1171.875 328
2109.375 -1171.875 328
2203.125 -1171.875 328
2296.875 -1171.875 328
2390.625 -1171.875 328
2484.375 -1171.875 328
2578.125 -1171.875 328
2671.875 -1171.875 328
2765.625 -1171.875 328
2859.375 -1171.875 328
2953.125 -1171.875 328
-2953.125 -1078.125 422
-2859.375 -1078.125 422
-2765.625 -1078.125 422
-2671.875 -1078.125 422
-2578.125 -1078.125 422
-2484.375 -1078.125 422
-2390.625 -1078.125 422
-2296.875 -1078.125 422
-2203.125 -1078.125 422
-2109.375 -1078.125 422
-2015.625 -1078.125 422
-1921.875 -1078.125 422
-1828.125 -1078.125 422
-1734.375 -1078.125 422
-1640.625 -1078.125 422
-1546.875 -1078.125 422
-1453.125 -1078.125 422
-1359.375 -1078.125 422
-1265.625 -1078.125 422
-1171.875 -1078.125 422
-1078.125 -1078.125 422
-984.375 -1078.125 422
-890.625 -1078.125 422
-796.875 -1078.125 422
-703.125 -1078.125 422
-609.375 -1078.125 422
-515.625 -1078.125 422
-421.875 -1078.125 422
-328.125 -1078.125 422
-234.375 -1078.125 422
-140.625 -1078.125 422
-46.875 -1078.125 422
46.875 -1078.125 422
140.625 -1078.125 422
234.375 -1078.125 422
328.125 -1078.125 422
421.875 -1078.125 422
515.625 -1078.125 422
609.375 -1078.125 422
703.125 -1078.125 422
796.875 -1078.125 422
890.625 -1078.125 422
984.375 -1078.125 422
1078.125 -1078.125 422
1171.875 -1078.125 422
1265.625 -1078.125 422
1359.375 -1078.125 422
1453.125 -1078.125 422
1546.875 -1078.125 422
1640.625 -1078.125 422
1734.375 -1078.125 422
1828.125 -1078.125 422
1921.875 -1078.125 422
2015.625 -1078.125 422
2109.375 -1078.125 422
2203.125 -1078.125 422
2296.875 -1078.125 422
2390.625 -1078.125 422
2484.375 -1078.125 422
2578.125 -1078.125 422
2671.875 -1078.125 422
2765.625 -1078.125 422
2859.375 -1078.125 422
2953.125 -1078.125 422
-2953.125 -984.375 516
-2859.375 -984.375 516
-2765.625 -984.375 516
-2671.875 -984.375 516
-2578.125 -984.375 516
-2484.375 -984.375 516
-2390.625 -984.375 516
-2296.875 -984.375 516
-2203.125 -984.375 516
-2109.375 -984.375 516
-2015.625 -984.375 516
-1921.875 -984.375 516
-1828.125 -984.375 516
